Qty,Refs,Value,MPN,Package,Sheet,Role,Notes
1,U1,"ESP32-S3-MINI-1-N8","ESP32-S3-MINI-1-N8","module",mcu,"MCU + BLE + 8 MB flash",""
1,U2,"MCP73831 4.2 V","MCP73831T-2ACI/OT","SOT-23-5",power,"LiPo charge",""
1,U3,"AP2112K-3.3 600 mA","AP2112K-3.3TRG1","SOT-23-5",power,"3V3 LDO",""
1,U4,"BMI270","BMI270","LGA-14 2.5×3.0",sensors,"IMU I2C 0x68",""
1,U5,"INMP441","INMP441","LGA",sensors,"I2S mic","TDK EOL — ICS-43434 is the I2S drop-in if INMP441 is N/A"
1,U6,"AFE4404","AFE4404YZPR","DSBGA-15",sensors,"Neck PPG I2C 0x58","Reflow; not a hand-solder first proto"
1,D1,"USBLC6-2SC6","USBLC6-2SC6","SOT-23-6",power,"USB ESD on VBUS/D+/D−",""
1,D2,"Green LED","LTST-C190KGKT","0402",mcu,"STAT, MCU sink via R6",""
1,D3,"940 nm IR LED","SFH 4451","SMD 0805-class",sensors,"PPG emitter toward ventral neck","U6 TXP. Keep If at the AFE 4 mA bring-up current"
1,D4,"940 nm photodiode","SFH 2704","SMD",sensors,"PPG detector","U6 INP. Not yet a sheet symbol — place at layout"
1,F1,"PTC 500 mA","MF-MSMF050-2","1812",power,"USB inrush",""
1,J1,"USB-C receptacle","USB4105-GF-A","16-pin SMD",power,"Charge + USB-JTAG D+/D−","Needs CC pulldowns R9/R10 for C-to-C VBUS"
1,J2,"JST-PH 2","S2B-PH-SM4-TB","SMD 2.0 mm",power,"LiPo",""
1,R1,"10k","RC0402FR-0710KL","0402 1%",power,"PROG → 100 mA","Do not stuff 2 kΩ on a ~180 mAh pouch (≈2.8 C)"
1,R2,"100k","RC0402FR-07100KL","0402 1%",power,"VBAT divider top",""
1,R3,"100k","RC0402FR-07100KL","0402 1%",power,"VBAT divider bottom",""
1,R4,"10k","RC0402FR-0710KL","0402 1%",mcu,"EN pull-up",""
1,R5,"10k","RC0402FR-0710KL","0402 1%",mcu,"GPIO0 / BOOT pull-up",""
1,R6,"330","RC0402FR-07330RL","0402 1%",mcu,"STAT LED series","330 Ω → ~3.9 mA"
1,R7,"4.7k","RC0402FR-074K7L","0402 1%",sensors,"I2C SDA pull-up",""
1,R8,"4.7k","RC0402FR-074K7L","0402 1%",sensors,"I2C SCL pull-up",""
1,R9,"5.1k","RC0402FR-075K1L","0402 1%",power,"USB-C CC1 pulldown","Not on the 4-pin USB symbol — add at layout or VBUS never appears on C-to-C"
1,R10,"5.1k","RC0402FR-075K1L","0402 1%",power,"USB-C CC2 pulldown",""
1,C1,"10uF 16V","CL21A106KOQNNNE","0805 X5R",power,"LDO VIN",""
1,C2,"10uF 16V","CL21A106KOQNNNE","0805 X5R",power,"LDO VOUT",""
1,C3,"100nF 16V","CC0402KRX7R7BB104","0402 X7R",power,"VBAT anti-alias",""
1,C4,"100nF 16V","CC0402KRX7R7BB104","0402 X7R",mcu,"3V3 HF at module",""
1,C5,"10uF 16V","CL21A106KOQNNNE","0805 X5R",mcu,"3V3 bulk at module",""
1,C6,"100nF 16V","CC0402KRX7R7BB104","0402 X7R",sensors,"BMI270 VDD",""
1,C7,"100nF 16V","CC0402KRX7R7BB104","0402 X7R",sensors,"INMP441 VDD",""
1,C8,"100nF 16V","CC0402KRX7R7BB104","0402 X7R",sensors,"AFE4404 VDD",""
1,BT1,"LiPo 3.7 V 180 mAh","pouch + PCM + PH","wired",mech,"Field cell","≤1 C charge. Matches 100 mA PROG"
1,TAG1,"NTAG213 disc","NTAG213 25 mm","sticker",mech,"Pet-door identity","Enclosure only — not a PCB net"
